Country,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017
Nepal,0.41840456051060093,0.4432743401178285,0.4377633334681462,0.4235440845727647,0.421782324759979,0.52312899321096,0.45484586275464,0.45021640897189985,0.4774453887847022
Netherlands,0.7271086924383584,0.7715452697884111,0.8216532959385131,0.8403437452266345,0.8583847131898097,0.8422075450672486,0.781339399364477,0.7337391651054415,0.7169851026595067
Netherlands-Antilles,0.277213211286541,0.14394415557846485,0.18238744846157162,0.245703163416796,0.345638093436878,0.24695025431997641,0.3619553693781157,0.4341069084064022,0.5553326838001437
New Zealand,0.6053658520964982,0.6449063863018747,0.6719017143849537,0.6899010103557703,0.696023310748543,0.7000577077244169,0.7170599251208336,0.7117254355607987,0.7010428740255292
New-Caledonia,0.12288617436099536,0.22885504149080327,0.34095933738111006,0.2558920475139015,0.3065877721190625,0.2398366766713147,0.28063485716581504,0.30876227699215464,0.3536079153167321
Nicaragua,0.3712570975551188,0.24709748898475936,0.22156074183219587,0.2898890949303523,0.37939386419323484,0.3056720234959188,0.39481493179512783,0.3482647623018017,0.381252792370379
Niger,0.21793291214989274,0.4283367662671106,0.40170245768366997,0.3413890061864734,0.3700446706326682,0.3179868574094701,0.5036786512828727,0.424181116074014,0.4341324021621811
Nigeria,0.6042375082601488,0.6716157001307645,0.6192079087108766,0.5944896265913541,0.5710698104399516,0.56873366036558,0.5833156734395524,0.6544194335213785,0.6876221554876302
Niue,,,0.0714285714285714,,,,0.0714285714285714,,0.1503036623605022
North Korea,0.0714285714285714,0.11078381356330325,0.24867628879228731,0.43699185627837167,0.08146814157126137,0.13713571446821649,0.4190534925724728,0.4799194175076871,0.33416706218818304
Norway,0.6756569540250481,0.7357377167003505,0.7268051675275811,0.7474483674048809,0.7523071333979163,0.7442023505228501,0.7527688875076699,0.7446031136838548,0.7361206433299997
Oman,0.0714285714285714,0.20586156637595365,0.34292093636969057,0.47742895284307696,0.4464977506850569,0.5106636494792398,0.5157915141026309,0.6788794745595335,0.747632030175176
Pakistan,0.5218664043703017,0.5243038787392298,0.5081546619176569,0.45715445818175626,0.5486450398532401,0.4978066812515344,0.4894737586919198,0.5256149086369928,0.5664426294589873
Palau,0.0714285714285714,0.07677713011056397,0.14025163129809637,0.08022226379065267,0.0810373884214739,0.2743501683913997,0.27086249018526254,0.24399215495826454,0.33339957737780235
