Country,Arts,Biology,Biomedical Research,Chemistry,Clinical Medicine,Earth and Space,Engineering and Technology,Health,Humanities,Mathematics,Physics,Professional Fields,Psychology,Social Sciences
Pakistan,1.368140221884506,3.7675844869391724,1.1659493242808558,1.4651998617540718,0.40839755045069653,0.5605791720245596,0.38644993751397605,0.22990056028761444,0.17506327057698448,1.3670896246705435,1.050155893697661,0.1743617810266091,0.14130695140689067,0.5678017478438492
Palau,0.0,13.172627024818004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,0.0,3.1810381968087817,0.6983285241644558,0.0,1.5545565384269715,0.0,0.14940733786225383,0.0,0.8714068342236234,0.0,0.0,0.1928700115909415,3.126129269299955,3.230089796674252
Papua New Guinea,2.3003616758685808,2.701675681418274,0.6191967644989067,0.11517236070544402,1.212801858944793,0.9405656790271232,0.4163566111078588,0.1932749398369002,1.8396727179616452,0.17239464181554964,0.0,0.9120787366862362,0.633574620204732,5.557657905969687
Paraguay,0.0,3.570892868173556,0.46756039451647147,0.6804466652575125,1.755592296798169,0.0,0.0,0.0,2.3573479659961145,0.0,0.0,0.0,1.2685305275906325,0.49151848351802163
People's Republic of Congo,0.0,1.662161138778297,1.602604483871772,0.6176251960570815,0.7307512706724401,4.708586412355784,0.0,0.0,1.8516707997887463,4.337974374099358,0.08362101662513047,0.0,0.0,1.0295529118484743
Peru,0.0,2.286783157792066,1.07568179382106,0.05523653339665086,1.4382739219829992,1.3192752015741334,0.09227828506428729,0.47119674505121345,2.3322260746539083,0.3502428291889361,0.03240700907849479,0.7683374616108675,1.0726598245061947,2.9426201428636953
Philippines,3.7004178751671306,4.948999565861202,0.6090164927685642,0.11845071519758912,0.9719084551322975,0.36790199984952665,0.13192269911389923,0.6218135606213051,4.26145303551116,0.18487881589791647,0.04062753408217161,0.654996469879496,0.29726187772204726,2.6820552013694385
Poland,0.35179236029445926,0.5800283115141217,1.258312708914387,1.9815801292357023,0.6221196558344881,0.4173780004996604,1.4241662451269759,0.13485551269096477,0.29540656807609106,2.428981911831124,1.144012404699876,0.05292897926996517,0.2520426342749728,0.2661630072939887
Portugal,0.0,0.8000343534181216,1.4516915203770255,0.9905750474429572,1.1813855117166074,0.9767413572104752,0.5417790126079787,0.0,0.24306804007216903,2.4992266863994117,1.071344987634847,0.10759735605671424,0.05813297797371369,0.2928227765979426
Qatar,0.0,13.172627024818004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Republic of Serbia,0.0,0.0,0.0,2.510092142949932,0.0,0.0,0.0,0.0,0.0,25.46551623313883,0.0,0.0,0.0,0.0
Reunion,0.0,10.538101619854404,1.4111822816315323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania,0.1294195413438521,0.5575477896539799,0.6578426432396762,2.104082643064602,0.5913835936556547,0.2464247775456921,0.7253058097474834,0.08698998711150935,0.187681707362493,1.8658025286024886,2.602629636096607,0.06475340988160301,0.10693571052000893,0.18722237789411547
Russia,0.025538149772274216,0.20164712531115436,1.2948699560684853,2.194530619421438,0.4181050702722585,1.0098760664147253,1.1932944207868776,0.014781483836446268,0.26862426595736655,0.2948572666428002,2.1495908040187213,0.017961087122921094,0.11082603966685074,0.1651389595692461
Rwanda,0.0,0.8275996036534874,0.0,0.0,2.7973050034497873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.126203241716749
Saint-Vincent-et-les-Grenadines,0.0,13.172627024818004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samoa,0.0,8.293876274885411,0.0,0.0,1.3838001959567712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Marino,0.0,0.0,0.0,0.0,3.736260529083282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
