discipline,Time_Interval,Papers
Genetics & Heredity,1993-1997,62037.0
Geography,1993-1997,7539.0
Geology,1993-1997,33318.0
Geriatrics,1993-1997,5076.0
Geriatrics & Gerontology,1993-1997,4485.0
Health Policy & Services,1993-1997,8276.0
Hematology,1993-1997,27573.0
History,1993-1997,16208.0
Human Factors,1993-1997,3344.0
Immunology,1993-1997,91105.0
Industrial Engineering,1993-1997,3322.0
Information Science & Library Science,1993-1997,9269.0
Inorganic & Nuclear Chemistry,1993-1997,32895.0
International Relations,1993-1997,4590.0
Language & Linguistics,1993-1997,9231.0
Law,1993-1997,10658.0
Literature,1993-1997,19400.0
Management,1993-1997,31316.0
Marine Biology & Hydrobiology,1993-1997,34362.0
Materials Science,1993-1997,74301.0
Mechanical Engineering,1993-1997,39063.0
Metals & Metallurgy,1993-1997,37875.0
Meteorology & Atmospheric Science,1993-1997,15505.0
Microbiology,1993-1997,48611.0
Microscopy,1993-1997,3521.0
Miscellaneous Biology,1993-1997,4417.0
Miscellaneous Biomedical Research,1993-1997,11838.0
Miscellaneous Clinical Medicine,1993-1997,10674.0
Miscellaneous Engineering & Technology,1993-1997,10841.0
Miscellaneous Humanities,1993-1997,6381.0
Miscellaneous Mathematics,1993-1997,7240.0
Miscellaneous Physics,1993-1997,3155.0
Miscellaneous Professional Field,1993-1997,2501.0
Miscellaneous Psychology,1993-1997,13372.0
Miscellaneous Social Sciences,1993-1997,8999.0
Miscellaneous Zoology,1993-1997,9659.0
Nephrology,1993-1997,13409.0
Neurology & Neurosurgery,1993-1997,125957.0
Nuclear & Particle Physics,1993-1997,74569.0
Nuclear Technology,1993-1997,16152.0
Nursing,1993-1997,6670.0
Nutrition & Dietetic,1993-1997,16517.0
Obstetrics & Gynecology,1993-1997,23015.0
Oceanography & Limnology,1993-1997,13211.0
Operations Research,1993-1997,4184.0
Ophthalmology,1993-1997,21045.0
Optics,1993-1997,42744.0
Organic Chemistry,1993-1997,69365.0
Orthopedics,1993-1997,19424.0
Otorhinolaryngology,1993-1997,16332.0
Parasitology,1993-1997,11237.0
Pathology,1993-1997,22020.0
Pediatrics,1993-1997,24199.0
Performing Arts,1993-1997,4691.0
Pharmacology,1993-1997,101597.0
Pharmacy,1993-1997,11625.0
Philosophy,1993-1997,8427.0
Physical Chemistry,1993-1997,119705.0
Physiology,1993-1997,34074.0
Planning & Urban Studies,1993-1997,2540.0
Political Science and Public Administration,1993-1997,8645.0
Polymers,1993-1997,46856.0
Probability & Statistics,1993-1997,18048.0
Psychiatry,1993-1997,27124.0
Psychoanalysis,1993-1997,1704.0
Public Health,1993-1997,9449.0
Radiology & Nuclear Medicine,1993-1997,44667.0
Rehabilitation,1993-1997,5553.0
Religion,1993-1997,5568.0
Respiratory System,1993-1997,15528.0
Science studies,1993-1997,2656.0
Social Psychology,1993-1997,8887.0
"Social Sciences, Biomedical",1993-1997,3168.0
Social Studies of Medicine,1993-1997,259.0
Social Work,1993-1997,3919.0
Sociology,1993-1997,10029.0
Solid State Physics,1993-1997,61949.0
Speech-Language Pathology and Audiology,1993-1997,3024.0
Surgery,1993-1997,57770.0
Tropical Medicine,1993-1997,8016.0
